Var1,Var3,Var11,Var12,Var13
152,"H","4,81991","30,81822","178,4739"
153,"H","4,81991","30,81822","178,4739"
154,"H","4,130741","356,3342","180,0972"
155,"H","4,130741","356,3342","180,0972"
156,"H","4,130741","356,3342","180,0972"
157,"H","4,130741","356,3342","180,0972"
158,"H","4,130741","356,3342","180,0972"
159,"H","4,130741","356,3342","180,0972"
160,"H","4,130741","356,3342","180,0972"
161,"H","4,130741","356,3342","180,0972"
162,"H","4,130741","356,3342","180,0972"
163,"H","4,130741","356,3342","180,0972"
164,"H","4,130741","356,3342","180,0972"
165,"H","4,130741","356,3342","180,0972"
166,"H","4,130741","356,3342","180,0972"
167,"H","4,130741","356,3342","180,0972"
168,"H","4,130741","356,3342","180,0972"
169,"H","4,130741","356,3342","180,0972"
170,"H","4,130741","356,3342","180,0972"
171,"H","4,130741","356,3342","180,0972"
172,"H","4,130741","356,3342","180,0972"
173,"H","4,130741","356,3342","180,0972"
174,"H","4,130741","356,3342","180,0972"
175,"H","4,130741","356,3342","180,0972"
176,"H","4,130741","356,3342","180,0972"
177,"H","4,130741","356,3342","180,0972"
178,"H","4,130741","356,3342","180,0972"
179,"H","4,130741","356,3342","180,0972"
180,"H","4,130741","356,3342","180,0972"
181,"H","4,130741","356,3342","180,0972"
182,"H","4,130741","356,3342","180,0972"
183,"H","4,130741","356,3342","180,0972"
184,"H","4,130741","356,3342","180,0972"
185,"H","4,130741","356,3342","180,0972"
186,"H","4,130741","356,3342","180,0972"
187,"H","4,130741","356,3342","180,0972"
188,"H","4,130741","356,3342","180,0972"
189,"H","4,130741","356,3342","180,0972"
190,"H","4,130741","356,3342","180,0972"
191,"H","4,130741","356,3342","180,0972"
192,"H","4,130741","356,3342","180,0972"
193,"H","4,130741","356,3342","180,0972"
194,"H","4,130741","356,3342","180,0972"
195,"H","4,130741","356,3342","180,0972"
196,"H","4,130741","356,3342","180,0972"
197,"H","4,130741","356,3342","180,0972"
198,"H","4,130741","356,3342","180,0972"
199,"H","4,130741","356,3342","180,0972"
200,"H","4,130741","356,3342","180,0972"
201,"H","4,130741","356,3342","180,0972"
202,"H","4,130741","356,3342","180,0972"
203,"H","4,130741","356,3342","180,0972"
204,"H","4,130741","356,3342","180,0972"
205,"H","4,130741","356,3342","180,0972"
206,"H","3,713484","339,0594","181,1785"
207,"H","3,713484","339,0594","181,1785"
208,"H","3,713484","339,0594","181,1785"
209,"H","3,713484","339,0594","181,1785"
210,"H","3,713484","339,0594","181,1785"
211,"H","3,1098","338,8244","181,0505"
212,"H","3,1098","338,8244","181,0505"
213,"H","3,1098","338,8244","181,0505"
214,"H","3,1098","338,8244","181,0505"
215,"H","3,1098","338,8244","181,0505"
216,"H","2,958748","349,6043","182,1489"
217,"H","2,958748","349,6043","182,1489"
218,"H","2,958748","349,6043","182,1489"
219,"H","2,958748","349,6043","182,1489"
220,"H","2,958748","349,6043","182,1489"
221,"H","2,958748","349,6043","182,1489"
222,"H","1,412322","7,262052","183,0743"
223,"H","1,412322","7,262052","183,0743"
224,"H","1,412322","7,262052","183,0743"
225,"H","1,412322","7,262052","183,0743"
226,"H","1,412322","7,262052","183,0743"
227,"H","1,173257","19,76428","184,6275"
228,"H","1,173257","19,76428","184,6275"
